,RecipeId,AuthorId,Rating
0,992,2008,5
4,44,2085,5
7,148,2156,0
8,517,2046,5
10,278,1773,4
13,1451,2416,1
19,471,2625,3
21,780,2312,5
24,1078,2639,5
33,1232,2312,4
36,164,2312,5
37,100,2369,3
41,153,3114,4
48,1600,2447,5
50,468,3125,3
53,1857,3241,5
54,288,3228,3
58,480,3074,4
59,2086,3307,5
63,536,2205,5
82,191,3652,5
83,350,3625,2
84,1485,3625,5
91,1705,3672,4
92,316,3627,0
99,397,3737,5
101,607,3731,5
103,246,3385,5
114,552,3894,4
120,2086,3908,5
122,1978,3937,5
124,191,3794,5
126,2086,3981,5
128,249,3810,4
135,2086,4046,5
141,607,4150,5
145,809,4177,5
146,665,4174,2
149,211,4148,5
151,480,4036,5
159,810,2312,0
160,1887,3506,4
163,585,4262,4
166,992,4242,5
167,397,1566,0
174,217,4329,4
184,607,4411,5
185,175,4408,5
188,640,4384,5
190,930,4374,4
193,601,4433,5
194,300,4442,4
195,545,4268,5
196,851,4814,5
207,481,4524,5
209,671,4828,4
211,591,4525,5
212,780,5012,4
213,552,4954,4
214,542,5028,4
219,198,5067,5
227,350,2695,1
234,1857,5285,3
238,198,5227,4
239,1387,5227,4
248,144,5471,3
250,1559,5049,4
252,190,1773,3
254,1627,5446,3
255,531,3856,3
261,649,1773,4
263,194,5285,3
264,198,5519,5
276,1209,5643,5
283,400,5686,5
285,1229,5523,4
291,1232,5689,1
293,595,5790,4
295,611,5860,3
302,1266,5896,4
308,362,5975,2
309,67,5974,5
317,1559,6080,4
326,350,5898,0
328,1878,6164,0
332,319,6195,5
334,451,4837,5
335,541,5620,4
340,517,6233,5
343,170,6127,5
344,809,6245,3
345,664,6248,3
353,1168,6359,5
356,593,6313,5
367,480,6437,5
370,501,6467,4
373,506,5830,4
377,304,5951,5
384,469,6614,4
386,834,5135,5
390,451,6705,5
398,1809,6845,4
402,619,7081,3
403,1267,7087,5
404,131,7096,5
407,1978,7145,4
425,536,6702,3
432,1128,7279,5
433,630,5349,5
436,536,7697,1
441,1069,7747,5
449,1595,2962,4
450,506,7407,4
451,605,7883,4
461,1303,8005,4
463,542,7874,5
472,536,8208,4
476,601,3657,5
481,316,6863,2
488,177,8053,4
497,2086,3934,5
499,632,8569,5
503,83,8602,5
510,242,8580,0
516,506,8172,4
518,1580,8681,4
521,330,8172,4
525,479,8796,5
526,349,8805,2
534,1128,8679,5
536,249,8936,4
538,893,8938,5
560,2066,9105,4
561,287,9145,3
565,129,9211,5
569,1246,9082,5
573,1460,9209,5
575,190,7961,0
582,1442,9441,5
584,526,9468,4
596,44,9816,5
